state_cd,state_abbrv,cd_pop,is_redistricted,pct_age_18_22,pct_age_23_27,pct_age_28_32,pct_age_33_37,pct_age_38_42,pct_age_43_47,pct_age_48_52,pct_age_53_57,pct_age_58_62,pct_age_63_67,pct_age_68_72,pct_age_73_77,pct_age_78_82,pct_age_83_plus,pct_female,pct_male,pct_race_asian,pct_race_black,pct_race_native_american,pct_race_other_multi,pct_race_white,pct_hisp_hispanic,pct_hisp_not_hispanic,pct_educ_four_year,pct_educ_hs_grad,pct_educ_no_hs,pct_educ_post_grad,pct_educ_some_college,pct_educ_two_year,state_pres_dem_share,state_pres_rep_share,state_pres_other_share,state_pres_no_vote_share,dem_share,rep_share,other_share,no_vote_share,contestation,training_eligibility,is_imputed
CA-35,CA,492282.01936328475,TRUE,0.10237408010692464,0.10388802699197157,0.10813130707692181,0.09554813253534851,0.0885763891427383,0.07810738407943638,0.07412011816226062,0.07797781314136958,0.07546958662174776,0.06563954774408476,0.05398382201803196,0.03336704222976554,0.0201311540314526,0.02268559611794602,0.5064105451812394,0.49358945481876065,0.1231599246362682,0.06941415041965403,0.016279602602374522,0.49093891708494874,0.3002074052567545,0.5471394170091002,0.4528605829908998,0.18037155016642983,0.28362386404017736,0.12953452919819042,0.07596532345725583,0.24619664981420133,0.08430808332374513,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.36856968886307284,0.19093532808842473,9.664378733188926e-5,0.5458388671608716,TRUE,prediction_set,TRUE
CA-38,CA,461947.85200332984,TRUE,0.08899091320052507,0.09305983767109838,0.09639054125057968,0.08237567452948247,0.07198088024802207,0.07375370251033218,0.07521448229762874,0.07643028896967223,0.0832131895415423,0.07534215587380029,0.06511506174861192,0.047595151486379134,0.030941475614781874,0.03959664505754378,0.5142109025090138,0.4857890974909862,0.24099441523369722,0.019695110495283493,0.019731830418611786,0.4765634208894667,0.2430152229629408,0.5471810047286456,0.45281899527135433,0.1975488792195667,0.2511704230277532,0.1515164527118009,0.09332919607829882,0.22825344201257453,0.07818160695000607,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.36856968886307284,0.078898743096507,0.023528107713434825,0.5298669217782548,TRUE,prediction_set,TRUE
CA-4,CA,531829.5577229756,TRUE,0.1054799419058288,0.08200628643361198,0.08196155896507343,0.07982193524425715,0.08397540859708426,0.07257893865026813,0.06764975309070874,0.07614829902754142,0.08074910155410257,0.07934189435705925,0.0666175824604924,0.052071883029548426,0.034716361883850036,0.0368810548005732,0.5144603519379394,0.4855396480620607,0.09629558368906448,0.029386997589717523,0.012333328620560101,0.23667706735944735,0.6253070227412105,0.23480713077442666,0.7651928692255734,0.20382216219917557,0.22689541146435702,0.09250920891405605,0.1144606566980708,0.2646161891225965,0.097696371601744,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.44713353065671524,0,0,0.39200232351641784,TRUE,prediction_set,TRUE
CA-40,CA,532417.1836243613,TRUE,0.08566960233482997,0.08035626567521623,0.08581348535955681,0.08787774849793221,0.09352680758850627,0.08460084488614981,0.08550673301262711,0.08512671878978276,0.08236153729224102,0.07165046213782317,0.05737274646179293,0.041664589000944205,0.02890390492577106,0.029568554036826327,0.5090771562290201,0.49092284377097994,0.10688148762289819,0.052119203790427844,0.008742486590637841,0.302746158642515,0.5295106633535211,0.3171278252778325,0.6828721747221674,0.21707891975858182,0.2365596176797996,0.08633428976695548,0.11546016523368105,0.2505805617792243,0.09398644578175774,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.41996992909037384,0,0,0.377088448177512,FALSE,prediction_set,TRUE
CA-41,CA,500720.36213369685,TRUE,0.08918604964377846,0.09421347393453984,0.09231839828733938,0.0866762388932941,0.07876507778916393,0.07692720922865166,0.08112090135900984,0.07927558876497164,0.08215883829712044,0.07253232507269361,0.05727864210516061,0.04353155844061001,0.02878223467763396,0.037233463506032356,0.5134673750136208,0.48653262498637917,0.15411548675759618,0.040774109646081594,0.01670803953044901,0.46966378152579374,0.3187385825400794,0.5406038203607555,0.4593961796392445,0.20369421441646635,0.2517575453154994,0.11517926464151904,0.10162291884449696,0.24331403550337863,0.08443202127863973,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.36856968886307284,0.078898743096507,0.023528107713434825,0.5298669217782548,TRUE,prediction_set,TRUE
CA-42,CA,530004.225716924,TRUE,0.0802026427792605,0.09395959985744694,0.10347507168694661,0.08804699513859089,0.07379787716329952,0.07348856479807883,0.07546324790084538,0.0802015133093709,0.0855101720145784,0.07264006151864455,0.06126068181873559,0.04542035506945256,0.031145347743424204,0.03538786920132529,0.5068693350671473,0.49313066493285274,0.15173375898546243,0.06009655744759155,0.009433845680395788,0.2266233698053721,0.5521124680811782,0.25717203451932125,0.7428279654806786,0.2804138242307028,0.17850478161746908,0.08042489262580452,0.14737340760650325,0.2358413423242599,0.07744175159526039,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.4322609777451291,0.19570407962987146,0,0.42114748352206344,TRUE,prediction_set,TRUE
CA-44,CA,441017.1416082348,TRUE,0.1015065357663941,0.10662539747434764,0.108097843426053,0.09302787379402677,0.07990621549806634,0.07116884440012967,0.0684635931636385,0.07219491055583506,0.07846462130908909,0.0707588321369395,0.0555697283503423,0.03859965212772424,0.025541176954935928,0.030074775042477866,0.5171460736306174,0.48285392636938274,0.12122624811070334,0.12027066182696988,0.01730403572442795,0.5054253489894728,0.235773705348426,0.6015669332701393,0.3984330667298607,0.15142492931246834,0.2765791119827877,0.18783430109849358,0.06378032985056924,0.2466364930216841,0.07374483473399712,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.3936946815796641,0.12288759457207216,0.023528107713434825,0.5298669217782548,TRUE,prediction_set,TRUE
CA-45,CA,500780.3318266218,TRUE,0.08581346990816534,0.08945555951386085,0.08782933998663395,0.0839007570727174,0.07424276645366341,0.06869841788978019,0.07904462534427627,0.08259353941068726,0.08563410837501564,0.07579346199653575,0.06172055052560921,0.04844263218776185,0.034430798896607814,0.04239997243868505,0.5086746682115677,0.4913253317884322,0.33596125383303005,0.027771035563202283,0.00903825701004445,0.27816073407338704,0.3490687195203362,0.311709426901582,0.6882905730984179,0.23179514498611464,0.22514876843282353,0.12554321300276175,0.10486917385215046,0.22770988156020214,0.08493381816594747,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.44713353065671524,0.19084019331057328,0,0.5458388671608716,TRUE,prediction_set,TRUE
CA-46,CA,462862.39048785646,TRUE,0.10902884018793416,0.10658065909854524,0.1093856860740336,0.09140549418564761,0.07650921315375897,0.06350646963537693,0.07177225950520816,0.07438647141624323,0.07801805742639972,0.06576764032764942,0.05469022300906613,0.038131360289582104,0.02603568127230803,0.03478194441824673,0.5081399959250449,0.4918600040749551,0.21109820536319743,0.021151121726817924,0.010880106498657704,0.3926056993092128,0.36426486710211414,0.4551593361768819,0.544840663823118,0.21206921427112066,0.2322705312791867,0.14510615828702372,0.09176549688462064,0.24016049006307105,0.07862810921497727,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.44713353065671524,0.12465043851271065,9.664378733188926e-5,0.5458388671608716,TRUE,prediction_set,TRUE
CA-47,CA,517898.5020657387,TRUE,0.09360610782998721,0.08253321905007993,0.08519803788204866,0.08346452475314348,0.07863102006181048,0.07172101542094915,0.08324108813386313,0.08205780850677892,0.08280423769494308,0.07265599131441457,0.06347411603260007,0.05000629463137623,0.03155205724052365,0.03905448144748131,0.5168037718755011,0.4831962281244989,0.2300873670391512,0.0199416245474346,0.005645188836795256,0.17363632803878104,0.5706894915378379,0.1610656308759901,0.8389343691240099,0.33908744546938385,0.13542205188737017,0.03801718371430215,0.22051856680785975,0.19314884162396456,0.07380591049711951,0.3550290583533498,0.23276600840716768,0.019427438279393056,0.39277749496008946,0.48523788849766086,0.2646034558794718,0,0.33757894868635885,TRUE,prediction_set,TRUE
